filename_original,filename_result,detections,upload_time,location
s.jpg,result_s.jpg,"Bottle cap:0.79, Plastic bag - wrapper:0.59, Bottle:0.25",2025-08-10 20:59:07,
s.jpg,result_s.jpg,"Bottle cap:0.79, Plastic bag - wrapper:0.59, Bottle:0.25",2025-08-10,21:14:55,"12.9516221,80.1323796"
s.jpg,result_s.jpg,"Bottle cap:0.79, Plastic bag - wrapper:0.59, Bottle:0.25",2025-08-10,21:15:04,"12.9516221,80.1323796"
s.jpg,result_s.jpg,"Bottle cap:0.79, Plastic bag - wrapper:0.59, Bottle:0.25",2025-08-10,21:22:44,"12.9516221,80.1323796"
s.jpg,result_s.jpg,"Bottle cap:0.79, Plastic bag - wrapper:0.59, Bottle:0.25",2025-08-10,21:38:50,"12.9516221, 80.1323796"
s1.jpg,result_s1.jpg,,2025-08-10,21:43:43,"12.9516221, 80.1323796"
s.jpg,result_s.jpg,"Bottle cap:0.79, Plastic bag - wrapper:0.59, Bottle:0.25",2025-08-10,21:44:02,"12.9516221, 80.1323796"
s.jpg,result_s.jpg,"Bottle cap:0.79, Plastic bag - wrapper:0.59, Bottle:0.25",2025-08-10,22:00:28,"12.9516221, 80.1323796"
s.jpg,result_s.jpg,"Bottle cap:0.79, Plastic bag - wrapper:0.59, Bottle:0.25",2025-08-10,22:03:10,"12.9516221, 80.1323796"
s.jpg,result_s.jpg,"Bottle cap:0.79, Plastic bag - wrapper:0.59, Bottle:0.25",22:07:52,"12.9516221, 80.1323796"
"s.jpg","result_s.jpg","Bottle cap:0.79, Plastic bag - wrapper:0.59, Bottle:0.25","2025-08-10","22:17:07","12.9516221, 80.1323796"
"s.jpg","result_s.jpg","Bottle cap:0.79, Plastic bag - wrapper:0.59, Bottle:0.25","22:21:29","12.9516221, 80.1323796"
"s.jpg","result_s.jpg","Bottle cap:0.79, Plastic bag - wrapper:0.59, Bottle:0.25","22:25:34","12.9516221, 80.1323796"
s.jpg,result_s.jpg,"Bottle cap:0.79, Plastic bag - wrapper:0.59, Bottle:0.25",2025-08-10,22:43:18,"12.9516221, 80.1323796"
s.jpg,result_s.jpg,"Bottle cap:0.79, Plastic bag - wrapper:0.59, Bottle:0.25",2025-08-10,22:46:23,"12.9516221, 80.1323796"
s.jpg,result_s.jpg,"Bottle cap:0.79, Plastic bag - wrapper:0.59, Bottle:0.25",2025-08-10,22:54:05,"12.9516221, 80.1323796"
s.jpg,result_s.jpg,"Bottle cap:0.79, Plastic bag - wrapper:0.59, Bottle:0.25",2025-08-10,22:58:48,"12.9516221, 80.1323796"
a.jpg,result_a.jpg,Plastic bag - wrapper:0.47,2025-08-10,22:59:21,"12.9516221, 80.1323796"
s.jpg,result_s.jpg,"Bottle cap:0.79, Plastic bag - wrapper:0.59, Bottle:0.25",2025-08-10,23:07:04,"12.9516221, 80.1323796"
a.jpg,result_a.jpg,Plastic bag - wrapper:0.47,2025-08-10,23:07:10,"12.9516221, 80.1323796"
a.jpg,result_a.jpg,Plastic bag - wrapper:0.47,2025-08-10,23:15:54,"12.9516221, 80.1323796"
s.jpg,result_s.jpg,"Bottle cap:0.79, Plastic bag - wrapper:0.59, Bottle:0.25",2025-08-10,23:37:44,"12.9516221, 80.1323796"
a1.jpg,result_a1.jpg,"Plastic bag - wrapper:0.93, Plastic bag - wrapper:0.41",2025-08-10,23:40:29,"12.9516221, 80.1323796"
a.jpg,result_a.jpg,Plastic bag - wrapper:0.47,2025-08-10,23:49:04,"12.9516221, 80.1323796"
a1.jpg,result_a1.jpg,"Plastic bag - wrapper:0.93, Plastic bag - wrapper:0.41",2025-08-10,23:49:28,"12.9516221, 80.1323796"
a1.jpg,result_a1.jpg,"Plastic bag - wrapper:0.93, Plastic bag - wrapper:0.41",2025-08-10,23:51:13,"12.9516221, 80.1323796"
